dataset,method,gs_f1,r_precision,r_recall,replicate_consistency,sem,t_rec_precision,t_rec_recall,tfb_f1,vc,ws_precision,ws_recall
op,pearson_corr,0.41861942903517474,0.45796680069312595,0.2563183295751374,0.40420018007983505,0.08963825949527879,,,0.031229698142362827,0.6986576914787292,,
op,portia,0.4156189862662632,0.45459215277545995,0.283620166504247,0.7004458750214769,0.060742242846025,,,0.02396660278255332,0.5293155461549759,,
op,positive_control,0.48142839571325796,0.5054292952515316,0.2704839272888232,0.36744493511352977,0.13435451847169294,,,0.04085245882157721,0.7222953140735626,,
op,ppcor,0.12676995751856057,0.2453202705562999,0.21914469402782424,0.3687551946478779,0.014369572435260205,,,0.0061825374680813715,0.4914512187242508,,
op,scenic,0.47344409591606523,0.4358440256484895,0.26867935790944186,0.59967327792281,0.027888510968923166,,,0.08985295882774028,0.5844590067863464,,
op,scenicplus,0.5141723627696179,0.513384684267729,0.31121719738800313,0.5394246231855162,0.0475003025662609,,,0.03620158764424983,0.634457916021347,,
op,scglue,0.16670277252972499,0.28037335605290903,0.22976851696696213,0.12763199696319877,0.006527514693889923,,,0.07896513527026415,0.5826730132102966,,
op,scgpt,0.5055414683244019,0.1847004903468713,0.23185942204458398,0.13507247373744474,0.026693507103628077,,,0.0,0.5767775475978851,,
op,scprint,0.47936442254323625,0.29224061587491373,0.247712566047848,0.251797866805627,0.013619839541002167,,,0.0,0.5848055183887482,,
parsebioscience,geneformer,0.2508694771355246,0.39894067030790803,0.3422205811605385,0.6266033416731595,0.09388067412687175,,,0.08790352542018225,0.736892580986023,,
parsebioscience,grnboost,0.449108097702511,0.7360430175451549,0.5094883147389492,0.6749847627705379,0.14739892771256585,,,0.10181795121736749,0.7418504655361176,,
parsebioscience,negative_control,0.0004363001745200698,0.26539573067134914,0.305714075337582,0.32249484443566667,0.005078725846171324,,,0.0,0.5433128923177719,,
parsebioscience,pearson_corr,0.21576143836232894,0.7912277671788539,0.4140859552334487,0.486009178056241,0.13141514207286506,,,0.09761873865963083,0.7691301107406616,,
parsebioscience,portia,0.4199199314903556,0.683917212272649,0.5197789831742253,0.7704878607034511,0.11013367259315185,,,0.10380679042578801,0.706074982881546,,
parsebioscience,positive_control,0.2192921927392366,0.7929008994954866,0.41498427294582296,0.4815776334394662,0.13167409409237915,,,0.10257536912938738,0.7729812264442444,,
parsebioscience,ppcor,0.014515864329559133,0.20125361753406223,0.28662568512220143,0.3875262872584782,0.006543891839557564,,,0.0,0.5438349097967148,,
parsebioscience,scenic,0.25160849216373876,0.4031026632687845,0.31984555106075496,0.4563141694537605,0.03290876902037175,,,0.11375664523462353,0.69991534948349,,
parsebioscience,scgpt,0.3179222130412129,0.3060733969863895,0.39338464814670526,0.23073031490843982,0.07679749302280157,,,0.02974128338547094,0.7223198115825653,,
parsebioscience,scprint,0.3399175319180183,0.3365539472940918,0.3475251865863268,0.2825401853343704,0.01466300719566125,,,0.0027877605561285267,0.6849451065063477,,
replogle,geneformer,0.3928436456042936,0.03877709089472922,0.0479609118743255,,0.11912893158382437,4.236749582251549,2.9924822346291284,0.017938258977156733,3.4333268672526174e-07,0.6283814585908529,0.5849402155720694
replogle,grnboost,0.4044007794924225,0.12932542705727865,0.09872321138186999,,0.17535828384617258,5.672850947279473,5.508109400646301,0.008507357950492338,2.6267767339049897e-07,0.6415597033374536,0.5729744928700543
replogle,negative_control,0.02777777777777778,0.0217423251997616,0.03772494830798569,,0.003104931782948556,1.2429061449161303,0.623586460895685,0.003739947148836393,1.6112129408440978e-07,0.5131095179233621,0.5120591818973019
replogle,pearson_corr,0.3724935417399189,0.11359844398262259,0.07470419400508284,,0.12229286066286724,8.490421380060328,7.611980811302403,0.02881379523927478,8.61684483766112e-08,0.65894956736712,0.5769192608957622
replogle,portia,0.40747386966182564,0.09428492042441676,0.07942414422428618,,0.09840386091273848,4.29570369527632,4.342716369366498,0.02224824529676233,4.027287303642879e-08,0.5656264524103831,0.5391946843408985
replogle,positive_control,0.37803826920848865,0.11763538272434729,0.07613977096497969,,0.1246198525817476,7.94266718346457,7.138251913319215,0.023397876104377217,6.56743850413477e-08,0.6546242274412856,0.5755995849233447
replogle,ppcor,0.06437169178477041,0.019288933590935937,0.03494364651022935,,0.011535914037417614,-0.29548071030503104,-0.4588518562705327,0.0,3.1343103401582084e-07,0.46546699629171817,0.47368822387360243
replogle,scenic,0.26874795078134256,0.054930901855977925,0.05118264848369553,,0.026291736742540928,2.723368395679141,2.586831396591264,0.07491297477683934,1.2583534214627434e-07,0.5439735475896168,0.5264927361585325
replogle,scgpt,0.30348041907873585,0.030998338952305225,0.04451657058868306,,0.03757741169436238,1.0081189550529257,1.073612194406079,0.004036041650330815,3.7646292838644513e-07,0.5256222496909765,0.5190604539064069
replogle,scprint,0.16740235714824528,0.02428555368232668,0.04062481257972941,,0.019354699572716676,2.574477124186244,2.2836920292742375,0.0,6.982683942169388e-08,0.519772805933251,0.510320479346589
soundlife,geneformer,0.37081614345162167,0.0015595498042753227,0.004285051694673077,0.3753345567962495,,,,0.0601741937471897,,,
soundlife,grnboost,0.5490978387380373,0.005257458811350056,0.006959073999317627,0.4425031252425481,,,,0.07440643283156535,,,
soundlife,negative_control,0.009442249225711298,1.0976793666633054e-06,0.0036589045924178146,0.04935435895591588,,,,0.00391966968372067,,,
soundlife,pearson_corr,0.5355700098320737,0.003048634828993391,0.005862507562608802,0.3213896523804254,,,,0.05238959051799074,,,
soundlife,portia,0.3025121378432248,0.003327088074416822,0.004669912482186946,0.4819328474615291,,,,0.0,,,
soundlife,positive_control,0.525218323259502,0.0032016603867860293,0.006056602158381835,0.3052320277864359,,,,0.1003385108084458,,,
soundlife,ppcor,0.16384066180951617,0.0014693521745021,0.004000649349374715,0.20294348919668437,,,,0.0,,,
soundlife,scenic,0.37688381957557376,0.0007118521093122686,0.003903005223660126,0.42090867168282264,,,,0.07688484001029443,,,
soundlife,scgpt,0.3604842461181558,0.0005696834304656032,0.0044277063476421555,0.024238637926742072,,,,0.007607611213053204,,,
soundlife,scprint,0.11638382717444151,2.9588502505548733e-05,0.0035906293338402767,0.14400710117563437,,,,0.0,,,
soundlife_vaccine,geneformer,0.3417214186567756,0.00033990143318519446,0.0054458191292960575,0.3921456353678265,,,,0.06721111571199594,,,
soundlife_vaccine,grnboost,0.5272228607819485,0.003183420623342196,0.008485304744508189,0.4249758713579002,,,,0.05809205882440637,,,
soundlife_vaccine,negative_control,0.007017543859649124,7.039331125490593e-06,0.005171615581047866,0.053654651928090005,,,,0.007342362814914765,,,
